식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
고추잡채,메인 반찬,볶음류,100ml,69.0,4.27,4.19,4.01,1.51,1.6,160.0,400.0
고추장볶음,메인 반찬,볶음류,100ml,396.0,34.64,9.54,25.57,14.29,3.6,1670.0,54.0
고추장아찌 무침,서브 반찬2,생채·무침류,100ml,62.0,13.91,1.54,0.9,4.8,3.1,697.0,37.0
고등어찌개,국,찌개 및 전골류,100ml,38.0,2.02,3.5,1.69,0.9,0.5,193.0,451.0
고등어찜,메인 반찬,찜류,100ml,92.0,3.21,8.57,4.88,1.02,1.4,159.0,191.0
고등어튀김,서브 반찬,튀김류,100ml,126.0,2.29,6.23,9.68,0.08,0.1,262.0,100.0
고디국(다슬기맑은국),국,국 및 탕류,100ml,17.0,1.57,1.36,0.71,0.23,0.9,96.0,300.0
고사리나물,서브 반찬2,나물·숙채류,100ml,56.0,4.89,3.73,3.14,0.38,3.7,1301.0,82.0
고등어구이,메인 반찬,구이류,100ml,185.0,4.52,13.11,12.04,0.08,0.13,277.0,103.33
고등어조림,메인 반찬,조림류,100ml,99.5,5.38,9.02,4.54,2.3,1.6,381.5,152.5
고구마튀김,서브 반찬,튀김류,100ml,193.0,29.37,2.7,6.87,5.91,1.9,17.0,166.0
고기만두,메인 반찬,만두류,100ml,114.0,16.96,5.87,2.16,0.16,1.3,173.0,382.0
고구마밥,밥,밥류,100ml,139.0,30.47,2.31,0.35,1.6,1.0,2.0,272.0
고구마줄기나물,서브 반찬2,나물·숙채류,100ml,29.33,3.53,1.07,1.3,0.38,1.97,156.0,96.67
계란빵,서브 반찬,빵 및 과자류,100ml,158.0,27.72,5.94,1.81,1.38,0.9,191.0,150.0
고구마맛탕,서브 반찬,튀김류,100ml,209.0,40.14,1.0,4.95,12.48,2.4,6.0,152.0
게맛살튀김,서브 반찬,튀김류,100ml,213.0,26.31,6.09,8.61,1.57,0.5,440.0,167.0
게조림,메인 반찬,조림류,100ml,93.0,1.48,18.88,0.81,0.67,0.2,656.0,132.0
겨자채,서브 반찬2,생채·무침류,100ml,120.0,4.02,5.43,8.88,2.31,1.0,18.0,150.0
검정콩밥,밥,밥류,100ml,121.0,24.31,3.21,0.81,0.35,1.2,1.0,300.0
강낭콩밥,밥,밥류,100ml,112.0,23.99,2.31,0.34,0.14,1.1,1.0,300.0
건새우 미역국,국,국 및 탕류,100ml,28.0,0.92,3.84,1.04,0.0,0.6,364.0,320.0
건새우볶음,메인 반찬,볶음류,100ml,109.0,5.45,9.9,5.12,1.52,0.5,944.0,100.0
감자탕,국,찌개 및 전골류,100ml,68.0,3.36,4.66,3.96,0.4,1.3,145.0,420.0
감자튀김,서브 반찬,튀김류,100ml,103.0,14.28,1.9,4.36,0.0,2.6,376.0,201.0
곰탕,국,국 및 탕류,100ml,140.0,12.67,7.54,5.94,0.64,0.6,558.0,195.0
곤드레밥,밥,밥류,100ml,124.0,26.8,2.23,0.94,0.15,4.4,9.0,500.0
곤약조림,메인 반찬,조림류,100ml,31.0,5.19,0.82,1.46,1.5,2.1,235.0,122.0
골뱅이무침,서브 반찬2,생채·무침류,100ml,69.0,10.29,5.98,0.84,6.24,1.7,386.0,150.0
고추조림,메인 반찬,조림류,100ml,37.0,5.95,2.5,0.57,1.08,1.65,405.0,80.0
고추튀김,서브 반찬,튀김류,100ml,218.0,26.51,5.91,9.24,0.84,2.8,278.0,65.0
고춧잎나물,서브 반찬2,나물·숙채류,100ml,41.0,7.13,3.83,0.68,0.39,2.2,131.0,70.0
기장밥,밥,밥류,100ml,114.5,24.52,2.26,0.35,0.16,0.65,1.0,410.0
근대 된장국,국,국 및 탕류,100ml,12.0,1.66,0.93,0.29,0.31,0.9,232.0,320.0
근대나물,서브 반찬2,나물·숙채류,100ml,56.0,6.4,2.54,2.85,0.88,2.9,460.0,100.0
굴비구이,메인 반찬,구이류,100ml,530.0,0.6,59.2,29.73,0.0,0.0,549.0,52.0
굴전,서브 반찬,전·적 및 부침류,100ml,213.0,13.98,11.92,11.55,1.02,0.6,483.0,74.0
군만두,메인 반찬,만두류,100ml,219.0,25.22,8.51,9.25,0.44,5.3,237.0,257.0
굴 미역국,국,국 및 탕류,100ml,16.0,1.9,1.89,0.47,0.12,1.2,382.0,280.0
굴국,국,국 및 탕류,100ml,18.0,0.98,1.95,0.65,0.14,0.3,233.0,320.0
과일샐러드,서브 반찬2,생채·무침류,100ml,108.0,15.1,0.53,5.67,12.12,2.5,37.0,135.0
광어 매운탕,국,찌개 및 전골류,100ml,62.0,2.6,8.96,1.74,0.61,1.0,54.0,600.0
김치볶음,메인 반찬,볶음류,100ml,65.0,4.51,3.74,3.55,2.32,2.34,373.2,151.4
김치국,국,국 및 탕류,100ml,13.0,1.71,0.92,0.33,0.64,1.0,231.5,227.5
김치만두,메인 반찬,만두류,100ml,28.0,3.4,1.84,0.72,0.11,0.4,177.0,1211.0
김치 고기만두,메인 반찬,만두류,100ml,294.0,42.4,16.23,5.23,1.44,3.4,552.0,118.0
김치 돼지고기볶음,메인 반찬,볶음류,100ml,113.0,4.26,8.11,6.61,2.27,2.0,294.0,50.0
김치 된장국,국,국 및 탕류,100ml,15.0,1.97,1.08,0.38,0.71,1.1,239.0,280.0
김치 청국장찌개,국,찌개 및 전골류,100ml,29.0,3.04,2.55,0.72,0.68,1.4,197.0,340.0
김치 콩나물국,국,국 및 탕류,100ml,10.0,1.12,1.16,0.24,0.38,0.7,181.0,320.0
김밥,밥,밥류,100ml,125.0,20.71,4.36,2.5,0.74,1.18,202.5,382.5
김부각,서브 반찬,튀김류,100ml,415.0,55.06,14.91,18.8,0.81,11.2,342.0,19.0
김말이튀김,서브 반찬,튀김류,100ml,132.0,19.56,1.06,5.42,0.02,0.6,183.0,100.0
꽈리고추찜,메인 반찬,찜류,100ml,36.0,6.55,1.31,0.68,0.89,1.3,155.0,110.0
낙지 덮밥,밥,밥류,100ml,92.0,16.1,3.82,1.23,2.35,1.2,146.0,900.0
꽃게장,김치,젓갈류,100ml,98.0,9.66,12.68,1.31,4.01,4.1,394.0,50.0
꽃게탕,국,찌개 및 전골류,100ml,31.0,2.12,4.86,0.28,0.95,0.7,309.0,296.0
꽈리고추볶음,메인 반찬,볶음류,100ml,123.67,9.62,7.03,6.5,3.54,1.63,636.33,87.0
꽁치구이,메인 반찬,구이류,100ml,196.0,2.81,21.64,10.1,0.0,0.1,279.0,100.0
꽁치조림,메인 반찬,조림류,100ml,86.33,5.63,10.0,2.55,2.22,1.63,371.0,175.0
꽁치튀김,서브 반찬,튀김류,100ml,105.0,2.4,5.31,7.84,0.0,0.1,222.0,100.0
꼬리곰탕,국,국 및 탕류,100ml,113.0,6.99,6.89,6.15,0.86,0.5,417.0,217.0
꼬막찜,메인 반찬,찜류,100ml,121.0,12.33,13.29,2.13,6.93,2.4,1271.0,98.0
깻잎장아찌,김치,장아찌·절임류,100ml,65.0,12.9,3.73,0.72,5.28,3.9,520.0,82.0
깻잎전,서브 반찬,전·적 및 부침류,100ml,215.0,17.53,11.9,10.21,0.05,1.8,856.0,72.0
깻잎찜,메인 반찬,찜류,100ml,30.0,4.59,1.67,0.91,1.36,1.7,277.0,50.0
껍질콩볶음,메인 반찬,볶음류,100ml,98.0,9.35,3.34,5.08,2.53,1.2,207.0,150.0
깻잎김치,김치,김치류,100ml,45.0,7.35,3.07,1.2,1.52,4.0,1766.0,115.0
깻잎나물,서브 반찬2,나물·숙채류,100ml,47.0,6.25,2.79,1.91,0.65,3.4,335.0,70.0
김치찜,메인 반찬,찜류,100ml,53.5,3.82,4.3,2.31,1.15,1.8,239.5,310.0
깐풍기,서브 반찬,튀김류,100ml,156.0,6.93,16.11,6.23,0.23,0.4,658.0,164.0
김치찌개,국,찌개 및 전골류,100ml,43.5,2.99,3.2,2.07,0.96,1.34,239.25,265.0
김치순두부,국,찌개 및 전골류,100ml,34.33,1.56,3.89,1.35,0.77,0.77,168.33,213.33
김치전,서브 반찬,전·적 및 부침류,100ml,126.0,15.56,3.57,5.03,1.36,1.8,370.0,70.0
달걀부침(달걀후라이),서브 반찬,전·적 및 부침류,100ml,184.0,3.07,11.04,13.46,0.2,0.0,306.0,70.0
달걀조림,메인 반찬,조림류,100ml,84.0,4.36,6.98,3.92,2.51,0.1,507.0,94.0
달걀찜,메인 반찬,찜류,100ml,94.0,1.94,8.66,5.32,0.57,0.3,561.5,145.0
달걀말이,서브 반찬,전·적 및 부침류,100ml,146.33,2.61,9.54,10.28,0.73,0.3,493.0,84.0
단호박조림,메인 반찬,조림류,100ml,71.0,15.18,2.23,0.94,4.4,4.5,815.0,100.0
달걀 샐러드,서브 반찬2,생채·무침류,100ml,158.0,6.48,5.93,11.9,0.81,0.7,223.0,159.0
달걀국,국,국 및 탕류,100ml,19.0,0.53,1.73,1.01,0.18,0.2,205.0,260.0
다시마무침,서브 반찬2,생채·무침류,100ml,60.0,6.96,3.06,3.35,0.96,3.4,501.0,64.0
다시마튀각,서브 반찬,튀김류,100ml,246.0,9.97,1.06,23.61,4.11,4.7,448.0,100.0
단무지무침,서브 반찬2,생채·무침류,100ml,41.0,5.51,1.02,1.78,2.27,3.3,611.0,60.0
느타리버섯볶음,메인 반찬,볶음류,100ml,40.0,4.28,1.78,2.69,1.38,2.1,213.0,120.0
느타리버섯튀김,서브 반찬,튀김류,100ml,227.0,19.17,6.37,13.64,0.33,1.3,552.0,60.0
녹두빈대떡,서브 반찬,전·적 및 부침류,100ml,249.0,31.36,13.39,7.48,1.45,1.5,275.0,109.0
냉이 된장국,국,국 및 탕류,100ml,20.0,2.46,2.06,0.43,0.57,1.3,272.0,320.0
냉이초나물,서브 반찬2,나물·숙채류,100ml,77.0,12.32,4.16,2.47,2.92,4.7,261.0,100.0
넙치구이,메인 반찬,구이류,100ml,116.0,0.03,13.63,6.33,0.0,0.0,615.0,114.0
노각무침,서브 반찬2,생채·무침류,100ml,20.0,3.98,0.86,0.43,2.15,1.2,332.0,85.0
난자완스,서브 반찬,튀김류,100ml,194.0,10.36,7.76,13.47,0.9,1.0,357.0,200.0
낙지 비빔밥,밥,밥류,100ml,88.0,14.72,4.28,1.31,1.25,1.0,176.0,900.0
낙지무침,서브 반찬2,생채·무침류,100ml,59.0,4.5,9.62,0.38,1.53,1.3,452.0,150.0
낙지볶음,메인 반찬,볶음류,100ml,89.0,7.07,11.48,1.64,3.28,1.25,533.5,180.5
닭찜,메인 반찬,찜류,100ml,117.0,7.92,9.48,5.09,1.97,0.97,246.67,270.0
닭튀김,서브 반찬,튀김류,100ml,197.0,15.56,19.13,5.85,3.78,0.7,586.0,157.5
닭튀김 샐러드,서브 반찬2,생채·무침류,100ml,79.0,3.98,3.79,5.3,1.0,0.8,102.0,300.0
닭죽,국,죽 및 스프류,100ml,111.0,17.35,6.61,1.3,0.87,0.75,148.5,255.5
닭볶음(닭갈비),메인 반찬,볶음류,100ml,165.5,14.5,13.93,5.76,4.62,1.9,308.0,210.0
닭조림,메인 반찬,조림류,100ml,117.0,6.4,10.45,5.42,1.99,1.0,220.0,340.0
닭도리탕,메인 반찬,조림류,100ml,122.0,8.85,9.82,5.33,2.82,1.5,277.0,300.0
닭백숙,국,국 및 탕류,100ml,102.0,12.78,10.14,0.7,0.35,0.3,519.0,270.0
닭날개구이,메인 반찬,구이류,100ml,218.0,2.34,21.57,12.64,1.48,0.2,156.0,105.0
닭다리구이,메인 반찬,구이류,100ml,209.0,0.13,19.87,13.7,0.0,0.0,664.0,112.0
닭다리조림,메인 반찬,조림류,100ml,182.0,9.19,14.01,8.86,3.22,1.7,156.0,87.0
닭고기 탕수,서브 반찬,튀김류,100ml,95.0,8.8,7.39,3.15,2.66,0.4,60.0,230.0
닭고기냉채,서브 반찬2,생채·무침류,100ml,73.0,5.74,10.84,0.93,3.24,1.6,21.0,150.0
닭고기육개장,국,국 및 탕류,100ml,28.0,1.52,2.64,1.32,0.4,0.7,141.0,440.0
닭곰탕,국,국 및 탕류,100ml,48.0,3.32,4.3,1.83,0.32,0.2,238.0,280.0
닭구이,메인 반찬,구이류,100ml,119.0,0.58,24.44,1.46,0.01,0.2,302.0,69.0
닭가슴살 샐러드,서브 반찬2,생채·무침류,100ml,37.0,2.03,4.1,1.36,1.21,0.7,56.0,300.0
닭강정,서브 반찬,튀김류,100ml,219.0,21.41,17.95,6.21,4.63,0.2,174.0,183.0
닭고기 덮밥,밥,밥류,100ml,97.0,16.4,5.32,0.7,0.92,0.5,120.0,634.0
닭고기 미역국,국,국 및 탕류,100ml,21.0,0.71,3.17,0.74,0.01,0.6,191.0,280.0
닭고기 샐러드,서브 반찬2,생채·무침류,100ml,109.0,3.17,8.61,6.85,1.08,1.0,359.0,114.0
달걀후라이,서브 반찬,전·적 및 부침류,100ml,184.0,3.07,11.04,13.46,0.2,0.0,306.0,70.0
달래무침,서브 반찬2,생채·무침류,100ml,60.0,8.6,2.07,2.5,3.53,2.5,564.5,98.5
대합 미역국,국,국 및 탕류,100ml,7.0,0.67,0.74,0.22,0.04,0.2,76.0,320.0
대합죽,국,죽 및 스프류,100ml,136.0,21.76,3.23,3.49,0.1,0.3,199.0,200.0
대구 매운탕,국,찌개 및 전골류,100ml,54.0,2.62,9.22,0.8,0.91,1.2,492.0,292.0
대구지리,국,찌개 및 전골류,100ml,37.0,1.98,6.55,0.49,0.22,1.1,335.0,250.0
대구찜,메인 반찬,찜류,100ml,57.0,3.32,8.32,1.18,1.02,1.4,170.0,191.0
도토리묵무침,서브 반찬2,생채·무침류,100ml,63.0,12.24,0.99,1.2,1.05,1.9,269.0,115.5
돈가스,서브 반찬,튀김류,100ml,149.0,9.33,8.95,7.89,0.52,0.5,119.0,100.0
도라지생채,서브 반찬2,생채·무침류,100ml,82.67,11.9,6.63,1.29,4.85,2.43,496.0,94.67
도루묵조림,메인 반찬,조림류,100ml,101.0,5.51,11.25,3.08,1.53,0.7,196.0,123.0
도라지나물,서브 반찬2,나물·숙채류,100ml,117.0,12.85,1.97,6.74,1.13,4.1,856.0,75.0
된장국,국,국 및 탕류,100ml,17.12,2.0,1.35,0.55,0.46,1.05,243.38,282.5
돼지사태찜,메인 반찬,찜류,100ml,83.0,7.02,7.63,2.65,2.76,1.1,207.0,177.0
돼지등심 장조림,메인 반찬,조림류,100ml,117.0,5.24,15.43,2.95,3.53,0.1,414.0,98.0
돼지머리국밥,밥,밥류,100ml,68.0,11.03,2.17,1.48,0.22,0.4,100.0,932.0
돼지불고기,메인 반찬,구이류,100ml,85.0,5.04,8.64,3.34,2.57,0.8,218.0,310.0
돼지고기볶음,메인 반찬,볶음류,100ml,127.0,8.5,10.53,5.58,4.06,1.78,339.4,225.0
돼지고기찌개,국,찌개 및 전골류,100ml,57.0,2.74,4.1,3.14,0.66,0.7,154.0,360.0
돼지고기 장조림,메인 반찬,조림류,100ml,150.0,7.25,16.26,5.6,2.02,0.5,1228.0,50.0
돼지고기강정,서브 반찬,튀김류,100ml,178.0,8.12,14.39,9.09,1.94,0.1,517.0,163.0
돼지갈비찜,메인 반찬,찜류,100ml,137.5,4.79,10.48,8.1,2.29,0.4,250.0,340.0
돼지고기 꼬치구이,메인 반찬,구이류,100ml,179.0,2.75,26.92,5.86,1.7,0.3,119.0,105.0
돼지고기 스테이크,메인 반찬,구이류,100ml,109.0,5.6,13.82,3.08,2.56,1.4,371.0,111.0
동태튀김,서브 반찬,튀김류,100ml,147.0,8.41,10.67,7.15,0.02,0.3,819.0,120.0
돼지갈비구이,메인 반찬,구이류,100ml,202.0,8.82,13.39,12.29,4.79,0.4,367.0,141.0
동태전,서브 반찬,전·적 및 부침류,100ml,115.0,5.15,8.92,6.02,0.01,0.2,430.0,70.0
동태조림,메인 반찬,조림류,100ml,64.0,4.51,10.05,0.51,1.86,0.9,371.0,230.0
동태찌개,국,찌개 및 전골류,100ml,44.0,3.91,5.52,0.81,1.47,1.1,221.0,327.0
동태찜,메인 반찬,찜류,100ml,50.0,2.75,7.59,1.03,0.86,1.1,206.0,232.0
돌나물,서브 반찬2,생채·무침류,100ml,44.0,8.68,1.16,1.04,4.22,1.4,226.0,90.0
돌나물무침,서브 반찬2,생채·무침류,100ml,44.0,8.69,1.16,1.03,4.22,1.4,223.0,90.0
돌솥 비빔밥,밥,밥류,100ml,101.0,17.46,3.43,1.78,1.05,1.2,93.0,575.0
동태 매운탕,국,찌개 및 전골류,100ml,25.0,1.98,3.25,0.5,0.54,0.8,184.0,610.0
동태국,국,국 및 탕류,100ml,29.0,1.56,4.24,0.62,0.39,0.8,325.0,320.0
떡국,국,국 및 탕류,100ml,92.5,17.9,3.08,1.09,0.16,0.68,257.0,555.0
땅콩조림,메인 반찬,조림류,100ml,258.0,16.02,11.95,18.15,5.04,4.2,479.0,95.0
땅콩죽,국,죽 및 스프류,100ml,146.0,24.78,3.85,3.31,0.37,1.0,189.0,198.0
두부찌개,국,찌개 및 전골류,100ml,53.0,3.82,4.73,2.11,1.05,1.3,343.0,197.67
두부튀김,서브 반찬,튀김류,100ml,128.0,10.08,6.72,6.5,0.85,1.9,276.0,146.0
들깨국,국,국 및 탕류,100ml,15.0,1.66,0.63,0.76,0.45,0.6,170.0,270.0
들깨죽,국,죽 및 스프류,100ml,152.0,21.16,3.72,5.83,0.25,2.5,630.0,213.0
두부전,서브 반찬,전·적 및 부침류,100ml,151.0,4.34,10.17,9.91,0.02,2.7,91.0,160.0
두부조림,메인 반찬,조림류,100ml,142.0,10.25,11.5,6.18,2.69,4.4,464.0,120.0
두부냉채,서브 반찬2,생채·무침류,100ml,77.0,4.39,8.69,2.81,1.25,1.7,303.0,150.0
두부볶음,메인 반찬,볶음류,100ml,197.0,13.12,12.41,10.52,3.68,2.9,246.0,113.0
두부부침,서브 반찬,전·적 및 부침류,100ml,147.0,4.12,10.5,9.57,0.0,3.2,307.0,110.0
두부 된장국,국,국 및 탕류,100ml,25.5,1.83,2.02,1.16,0.39,0.9,226.0,280.0
두부 청국장찌개,국,찌개 및 전골류,100ml,36.0,3.83,3.3,0.9,0.76,1.75,323.0,255.0
두부국,국,국 및 탕류,100ml,19.0,1.25,1.81,0.83,0.22,0.6,185.0,270.0
두부김치,메인 반찬,볶음류,100ml,108.0,5.12,7.8,6.13,1.02,3.7,512.0,224.0
된장찌개,국,찌개 및 전골류,100ml,44.71,4.46,3.93,1.36,0.94,1.89,395.86,261.71
두부 달걀찜,메인 반찬,찜류,100ml,75.0,3.05,6.17,4.06,0.49,1.6,142.0,125.0
떡볶이,메인 반찬,볶음류,100ml,106.8,21.44,2.7,1.42,3.34,1.12,299.8,247.0
떡산적,서브 반찬,전·적 및 부침류,100ml,157.0,18.95,9.0,5.16,2.92,1.9,418.0,146.0
떡만두국,국,국 및 탕류,100ml,68.0,11.43,2.49,1.4,0.19,0.97,202.33,715.67
런천미트구이,메인 반찬,구이류,100ml,302.0,11.12,21.63,18.95,1.3,0.0,1091.0,42.0
라볶이,메인 반찬,볶음류,100ml,108.0,17.85,1.9,3.16,1.04,1.0,150.0,476.0
마카로니 샐러드,서브 반찬2,생채·무침류,100ml,138.0,13.76,2.35,7.98,2.75,1.2,125.0,170.0
마늘쫑볶음,메인 반찬,볶음류,100ml,85.25,8.98,4.4,3.84,4.19,2.08,431.5,94.0
마늘쫑장아찌무침,서브 반찬2,생채·무침류,100ml,79.0,17.75,1.25,0.58,8.15,2.9,706.0,50.0
마늘쫑무침,서브 반찬2,생채·무침류,100ml,68.0,14.55,1.63,1.14,6.25,3.3,281.0,80.0
멸치볶음,메인 반찬,볶음류,100ml,142.5,6.3,13.96,6.9,2.0,0.75,649.5,47.5
멸치조림,메인 반찬,조림류,100ml,150.0,6.5,14.97,6.69,3.2,0.1,1121.0,60.0
멕시컨샐러드,서브 반찬2,생채·무침류,100ml,118.0,4.04,5.78,8.92,2.2,1.1,403.0,166.0
멸치 미역국,국,국 및 탕류,100ml,9.0,0.71,1.05,0.39,0.0,0.4,375.0,320.0
메밀묵국,국,국 및 탕류,100ml,65.0,12.03,1.62,1.27,1.45,1.8,249.0,144.0
